"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"2036",2018,"Texas Teacher Retirement System","Texas","0.077","0.081","Entry Age Normal","0.7694240220561793","154051008000","154568901833","154568901833","200216000000","209611328793","3426242800","0.98856","3414712182","0.0771","Level Percent Open","-10278161000","10014456000","-422335750","-50017387",NA,"5-year smoothed market value.","44956000000","3360773197","0.0771","1131661000",NA,"1835249388000","0.0948","420131410",NA,2019,NA,"0.0725","0.0725","30.0","0.03","0.0549","6817023500","0.1169",NA,NA,NA,"Plan covers teachers","46165000000",NA
"2037",2019,"Texas Teacher Retirement System","Texas","0.0503","0.069","Entry Age Normal","0.7640329963761205","160232992000","157978199075","157978199075","209720000000","209961325288","4288000500","0.81616","4118292012","0.0844","Level Percent Open","-11364265000","10438646000","-486460910","-44092195",NA,"5-year smoothed market value.","47414000000","3482869726","0.077","1146240100",NA,NA,"0.0933","1021546500",NA,2020,NA,"0.0725","0.0725","29.0","0.03","0.0527","7643367000","0.1176",NA,NA,NA,"Plan covers teachers","49487000000",NA
"2038",2020,"Texas Teacher Retirement System","Texas","0.071","0.068","Entry Age Normal","0.768","167432000000","165416245243","165416245243","218038000000","218974205084","4527930500","0.85281","4155591899","0.0851","Level Percent Open","-11091377000","10812320000","-421366190","-46869379",NA,"5-year smoothed market value.","49987000000","3736877464","0.077","1353667800",NA,NA,"0.0907","754080310",NA,2021,NA,"0.0725","0.0725","28.0","0.03","0.0501","7938742000","0.1176",NA,NA,NA,"Plan covers teachers","50605000000",NA
"2039",2001,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.018","0.112","Entry Age Normal","1.074","11021828000","9905802000",NA,"9582812000",NA,"331951000","1",NA,NA,"Level Percent Open","-311311000","311311000","-3264000","-6695000",NA,"5-year smoothing","2611413000","10969000","0.0","331951000",NA,"293713000","0.0994",NA,NA,2001,NA,"0.08","0.08","20.0","0.04","-0.008","342920000","0.1074",NA,NA,NA,"Plan covers state and local employees","-711632000",NA
"2040",2002,"Utah Retirement Systems, Noncontributory Retirement System","Utah","-0.053","0.068","Entry Age Normal","1.056","10756065000","9073766000",NA,"10433753000",NA,"291256000","1",NA,NA,"Level Percent Open","-348230000","348230000","-3715000","-7103000",NA,"5-year smoothing","2801564000","12496000","0.0","291256000",NA,"277677000","0.1288",NA,NA,2002,NA,"0.08","0.08","20.0","0.04","0.0214","303752000","0.1074",NA,NA,NA,"Plan covers state and local employees","-588075000",NA
"2041",2003,"Utah Retirement Systems, Noncontributory Retirement System","Utah","-0.08","-0.015","Entry Age Normal","0.946","11551092000","11280140000",NA,"11372802000",NA,"314511000","1",NA,NA,"Level Percent Open","-386791000","386791000","-3310000","-8124000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","2888853000","11517000","0.0","314511000",NA,"291256000","0.124",NA,NA,2003,NA,"0.08","0.08","20.0","0.04","0.016","326028000","0.108",NA,NA,NA,"Plan covers state and local employees","616737000",NA
"2042",2004,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.256","0.08","Entry Age Normal","0.967","12093408000","12786130000",NA,"11951137000",NA,"369109000","1",NA,NA,"Level Percent Open","-424897000","424897000","-3029000","-7758000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","2915008000","14377000","0.0","369109000",NA,"314511000","0.136",NA,NA,2004,NA,"0.08","0.08","20.0","0.04","0.0226","383486000","0.1134",NA,NA,NA,"Plan covers state and local employees","400045000",NA
"2043",2005,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.137","0.053","Entry Age Normal","0.952","12935862000","13892439000",NA,"13594618000",NA,"406795000","1",NA,NA,"Level Percent Open","-469695000","469695000","-3189000","-7557000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3121800000","19817000","0.0","406795000",NA,"369109000","0.1339",NA,NA,2005,NA,"0.08","0.08","20.0","0.04","0.0207","426612000","0.1132",NA,NA,NA,"Plan covers state and local employees","658756000",NA
"2044",2006,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.092","0.074","Entry Age Normal","0.952","14295945000","15818483000",NA,"13594618000",NA,"440421000","1",NA,NA,"Level Percent Open","-533248000","533248000","-2763000","-7862000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3121800000","22646000","0.0","440421000",NA,"406795000","0.1247",NA,NA,2006,NA,"0.08","0.08","20.0","0.04","0.0129","463067000","0.1118",NA,NA,NA,"Plan covers state and local employees","658756000",NA
"2045",2007,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.144","0.111","Entry Age Normal","0.976","16026629000","16751804000",NA,"14645138000",NA,"487803000","1",NA,NA,"Level Percent Open","-609526000","609526000","-3443000","-8345000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3284295000","18245000","0.0","487803000",NA,"440421000","0.1309",NA,NA,2007,NA,"0.08","0.08","20.0","0.04","0.0153","506048000","0.1156",NA,NA,NA,"Plan covers state and local employees","349193000",NA
"2046",2008,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.066","0.13","Entry Age Normal","0.969","15667473000","12714371000",NA,"16547856000",NA,"522733000","1",NA,NA,"Level Percent Closed","-659792000","659792000","-2514000","-8809000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3583525000","14110000","0.0","522733000",NA,"487803000","0.153",NA,NA,2008,NA,"0.0775","0.0775","25.0","0.04","0.0374","536843000","0.1156",NA,NA,NA,"Plan covers state and local employees","521227000",NA
"2047",2009,"Utah Retirement Systems, Noncontributory Retirement System","Utah","-0.234","-0.011","Entry Age Normal","0.88","16434614000","14152562000",NA,"17812271000",NA,"535298000","1",NA,NA,"Level Percent Closed","-723052000","723053000","-2882000","-8340000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3837934000","14109000","0.0","535298000",NA,"522733000","0.1581",NA,NA,2009,NA,"0.0775","0.0775","24.0","0.04","0.0426","549407000","0.1155",NA,NA,NA,"Plan covers state and local employees","2144797000",NA
"2048",2010,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.132","0.061","Entry Age Normal","0.871","16663090000","15802205000",NA,"18879477000",NA,"564154000","1",NA,NA,"Level Percent Closed","-793804000","793804000","-3620000","-8389000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3888415000","33528000","0.0","564154000",NA,"535298000","0.1783","0",NA,2010,NA,"0.0775","0.0775","23.0","0.035","0.0581","597682000","0.1202",NA,NA,NA,"Plan covers state and local employees","2444863000","0.0375"
"2049",2011,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.132","0.029","Entry Age Normal","0.838","16615078000","15935472000",NA,"19876212000",NA,"610270000","1",NA,NA,"Level Percent Closed","-843696000","843697000","-2514000","-7304000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","3842855000","12879000","0.0","610270000",NA,"564154000","0.1902",NA,NA,2011,NA,"0.075","0.075","22.0","0.035","0.0709","623149000","0.1193",NA,NA,NA,"Plan covers state and local employees","3213122000","0.0375"
"2050",2012,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.025","0.013","Entry Age Normal","0.801","16777788000","17629437000","22150598000","20742874000",NA,"644907000","1",NA,NA,"Level Percent Closed","-900133000","900128000","-2858000","-8397000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years.","3760961000","15014000","0.0","644907000",NA,"610270000","0.2002",NA,NA,2012,NA,"0.075","0.075","21.0","0.035","0.0808","659921000","0.1194",NA,NA,NA,"Plan covers state and local employees","4127796000","0.0375"
"2051",2013,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.126","0.027","Entry Age Normal","0.774","18396476000","19915815000","25096075000","21675141000","23344324000","710933000","1",NA,NA,"Level Percent Closed","-974684000","974684000","-2454000","-8329000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years.","3610948000","14208000","0.0","710933000",NA,"513828000","0.1831",NA,NA,2013,NA,"0.075","0.075","20.0","0.0325","0.0708","725141000","0.1123",NA,NA,NA,"Plan covers state and local employees","4897352000","0.035"
"2052",2014,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.148","0.11","Entry Age Normal","0.819","20024686000","21096512000","26569122000","22461527000","24043264000","772420000","1.0",NA,NA,"Level Percent Closed","-1043798000","1043798000","-2204000","-8828000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years.","3486507000","13587000","0.0","772420000",NA,"563828000","0.1662",NA,NA,2014,NA,"0.075","0.075","19.0","0.0325","0.0552","786007000","0.111",NA,NA,NA,"Plan covers state and local employees","4065051000","0.035"
"2053",2015,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.071","0.102","Entry Age Normal","0.858","21308180000","21192437000","26686846000","23347433000","24899572000","813449000","1.0",NA,NA,"Level Percent Closed","-1123647000","1123647000","-2496000","-8797000",NA,"5-year smoothed asset value","3378417000","17020000","0.0","813449000",NA,"614490000","0.1698",NA,NA,2015,NA,"0.075","0.075","18.0","0.031","0.0545","830469000","0.1153",NA,NA,NA,"Plan covers state and local employees","3322747000",NA
"2054",2016,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.017","0.078","Entry Age Normal","0.854","22683206000","22618743000","28544320000","24945530000","26501781000","831631000","1.0",NA,NA,"Level Percent Closed","-1184317000","1184317000","-4366000","-8856000",NA,"5-year smoothed asset value","3154812000","16308000","0.0","831631000",NA,"646434000","0.1694",NA,NA,2016,NA,"0.072","0.072","20.0","0.03","0.0528","847939000","0.1166",NA,NA,NA,"Plan covers state and local employees","3637349000",NA
"2055",2017,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.084","0.081","Entry Age Normal","0.855","24200612000","25205127000","31878614000","26541851000","28088619000","854255000","1.0",NA,NA,"Level Percent Closed","-1248037000","1248037000","-4635000","-9579000",NA,"5-year smoothed asset value","3087708000","17285000","0.0","854255000",NA,NA,"0.158",NA,NA,2017,NA,"0.0695","0.0695","20.0","0.03","0.0425","871540000","0.1155",NA,NA,NA,"Plan covers state and local employees","3858644000","0.0325"
"2056",2018,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.133","0.083","Entry Age Normal","0.877","25183796000","24666059000","35198547000","27587525000","29122948000","858444000","1.0",NA,NA,"Level Percent Closed","-1320214000","1320214000","-2766000","-9962000",NA,"5-year smoothed asset value","3261711000","14602000","0.0","858444000",NA,"680218000000","0.1547",NA,NA,2018,NA,"0.0695","0.0695","20.0","0.03","0.0406","873046000","0.1141",NA,NA,NA,"Plan covers state and local employees","3386913000",NA
"2057",2019,"Utah Retirement Systems, Noncontributory Retirement System","Utah","-0.004","0.06","Entry Age Normal","0.874","26447312000","27635923000",NA,"28815265000","30351815000","888078000","1.0",NA,NA,"Level Percent Closed","-1396983000","1396983000","-3127000","-9411000",NA,"5-year smoothed asset value","3260398000","11730000","0.0","888078000",NA,NA,"0.1529",NA,NA,2019,NA,"0.0695","0.0695","20.0","0.029","0.039","899808000","0.1139",NA,NA,NA,"Plan covers state and local employees","3631469000",NA
"2058",2020,"Utah Retirement Systems, Noncontributory Retirement System","Utah","0.143","0.071","Entry Age Normal","0.875","26447312000","30478072000",NA,"30222710000","31763859000","912525000","1.0",NA,NA,"Level Percent Closed","-1488627000","1396983000","-2338000","-9805000",NA,"5-year smoothed asset value","3240185000","16385000","0.0","912525000",NA,NA,"0.1529",NA,NA,NA,NA,"0.0695","0.0695","20.0",NA,NA,"928910000","0.1139",NA,NA,NA,"Plan covers state and local employees","3775399000",NA
"2059",2001,"Utah Retirement Systems, Public Safety Retirement System","Utah","-0.05",NA,"Entry Age Normal","Contributory: 104.1%; Non Contributory: 107.5%","1376466000","1229903000",NA,"1206876000",NA,"46113000","1",NA,NA,"Level Percent Open","-48607000","48607000","-542000","-843000",NA,"5-year smoothing","242463000","3976000","0.0144","46113000",NA,"49353000","0.1694",NA,NA,2002,NA,"0.08","0.08","20.0","0.04","0.0001","50089000","0.1972",NA,NA,NA,"Plan covers police and/or fire","-80120000",NA
"2060",2002,"Utah Retirement Systems, Public Safety Retirement System","Utah","-0.075",NA,"Entry Age Normal","Contributory: 101.3%; Non Contributory: 100.6%","1349435000","1124549000",NA,"1366134000",NA,"42264000","1",NA,NA,"Level Percent Open","-53962000","53962000","-1155000","-899000",NA,"5-year smoothing","256543000","4258000","0.014","42264000",NA,"46113000","0.2074",NA,NA,2003,NA,"0.08","0.08","20.0","0.04","0.0311","46522000","0.2049",NA,NA,NA,"Plan covers police and/or fire","-10332000",NA
"2061",2003,"Utah Retirement Systems, Public Safety Retirement System","Utah","0.26",NA,"Entry Age Normal","Contributory: 97.3%; Non Contributory: 91.1%","1448888000","1404167000",NA,"1458491000",NA,"46655000","1",NA,NA,"Level Percent Open","-59941000","59941000","-666000","-1006000",NA,"Based on the total fair value income of investments with the excess or shortfall of actual investment income over or under the expected investment return smoothed over five years. One-fifth of the excess or shortfall is recognized each year for five years","268693000","4448000","0.0138","46655000",NA,"42264000","0.2065",NA,NA,2004,NA,"0.08","0.08","20.0","0.04","0.0299","51103000","0.2047",NA,NA,NA,"Plan covers police and/or fire","109056000",NA
